date_local,latitude,longitude,county,aqi_42101,aqi_42401,aqi_44201,aqi_42602,aqi_88502,aqi_max
2013-08-19,40.81551,-73.88553,Bronx,8.0,1.8,47.125,23.5,51.0,51.0
2013-08-20,40.81551,-73.88553,Bronx,7.5,3.8,60.0,52.5,57.75,60.0
2013-08-21,40.81551,-73.88553,Bronx,8.5,3.0,98.5,48.0,66.0,98.5
2013-08-22,40.81551,-73.88553,Bronx,8.5,3.4,48.5,42.0,64.5,64.5
2013-08-23,40.81551,-73.88553,Bronx,8.0,1.4,28.125,17.0,46.75,48.0
2013-08-24,40.81551,-73.88553,Bronx,7.5,1.8,35.375,34.5,31.25,35.375
2013-08-25,40.81551,-73.88553,Bronx,8.0,3.0,44.75,32.0,27.75,44.75
2013-08-26,40.81551,-73.88553,Bronx,8.5,3.8,44.75,23.5,43.25,57.5
2013-08-27,40.81551,-73.88553,Bronx,8.0,3.8,43.625,34.0,50.5,50.5
2013-08-28,40.81551,-73.88553,Bronx,9.5,5.0,35.625,43.0,54.5,54.5
2013-08-29,40.81551,-73.88553,Bronx,9.5,1.4,41.625,22.0,55.5,55.5
2013-08-30,40.81551,-73.88553,Bronx,8.0,1.8,47.5,25.0,51.75,51.75
2013-08-31,40.81551,-73.88553,Bronx,8.5,1.8,42.5,21.0,58.5,58.5
2013-09-01,40.81551,-73.88553,Bronx,9.0,2.6,36.75,19.0,55.5,56.5
2013-09-02,40.81551,-73.88553,Bronx,9.5,1.8,32.875,30.0,54.75,54.75
2013-09-03,40.81551,-73.88553,Bronx,9.5,1.4,32.75,25.5,44.25,44.25
2013-09-04,40.81551,-73.88553,Bronx,7.5,1.4,38.625,18.5,24.75,38.625
2013-09-05,40.81551,-73.88553,Bronx,4.5,2.6,34.125,31.5,22.75,34.125
2013-09-06,40.81551,-73.88553,Bronx,3.0,1.4,33.5,29.0,24.75,33.5
2013-09-07,40.81551,-73.88553,Bronx,4.0,5.4,41.875,36.0,29.33333333333333,41.875
2013-09-08,40.83606,-73.92009,Bronx,5.0,2.6,39.625,23.5,40.0,40.0
2013-09-09,40.83606,-73.92009,Bronx,3.5,1.4,31.25,17.5,33.5,33.5
2013-09-10,40.81551,-73.88553,Bronx,4.5,2.6,42.5,28.5,36.66666666666666,63.5
2013-09-11,40.81551,-73.88553,Bronx,7.5,3.4,55.25,50.0,64.25,64.25
2013-09-12,40.81551,-73.88553,Bronx,7.0,2.2,39.625,34.5,77.0,77.0
2013-09-13,40.81551,-73.88553,Bronx,5.5,1.4,24.25,22.0,39.0,39.0
2013-09-14,40.81551,-73.88553,Bronx,3.5,1.4,19.125,12.5,8.0,19.125
2013-09-15,40.81551,-73.88553,Bronx,2.5,2.6,28.75,35.0,11.0,35.0
2013-09-16,40.81551,-73.88553,Bronx,3.0,2.6,29.75,27.0,23.5,30.0
2013-09-17,40.81551,-73.88553,Bronx,2.5,2.6,27.875,30.0,20.5,30.0
2013-09-18,40.81551,-73.88553,Bronx,2.5,3.0,28.625,36.0,18.75,36.0
2013-09-19,40.81551,-73.88553,Bronx,2.5,3.8,40.25,41.5,36.25,47.0
2013-09-20,40.81551,-73.88553,Bronx,3.5,4.6,47.0,40.5,49.25,49.25
2013-09-21,40.81551,-73.88553,Bronx,3.5,3.8,35.625,28.5,36.25,36.25
2013-09-22,40.81551,-73.88553,Bronx,1.5,1.4,28.75,8.5,13.25,28.75
2013-09-23,40.81551,-73.88553,Bronx,1.0,1.8,22.25,16.5,8.5,22.25
2013-09-24,40.81551,-73.88553,Bronx,1.0,2.6,24.0,21.5,11.5,24.0
2013-09-25,40.81551,-73.88553,Bronx,3.5,4.6,26.0,41.5,24.5,41.5
2013-09-26,40.81551,-73.88553,Bronx,6.0,3.0,22.375,36.5,37.75,37.75
2013-09-27,40.81551,-73.88553,Bronx,4.5,1.8,20.25,28.0,33.5,33.5
2013-09-28,40.81551,-73.88553,Bronx,2.5,1.8,26.375,24.5,26.25,26.375
2013-09-29,40.81551,-73.88553,Bronx,5.0,2.6,33.0,31.5,29.25,33.0
2013-09-30,40.81551,-73.88553,Bronx,7.0,3.4,32.25,45.5,40.0,45.5
2013-10-01,40.81551,-73.88553,Bronx,5.5,5.0,37.875,36.0,51.75,53.5
2013-10-02,40.81551,-73.88553,Bronx,5.0,3.0,43.75,37.5,59.5,59.5
2013-10-03,40.81551,-73.88553,Bronx,5.0,3.8,32.625,42.0,62.5,62.5
2013-10-04,40.81551,-73.88553,Bronx,7.0,7.0,34.875,49.0,69.75,70.0
2013-10-05,40.81551,-73.88553,Bronx,7.5,1.8,38.125,27.0,67.75,67.75
2013-10-06,40.81551,-73.88553,Bronx,5.5,1.0,38.75,14.5,58.75,58.75
